# S0 CLI 레퍼런스 — 파일별 최상위 선언 수
# 문법 3dea6df · tree-sitter 0.26.12
# 쿼리 crates/pal-extract/queries/kotlin/top-level.scm
path	parse	declarations
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/email/templates/model/db/EmailTemplateVersionTable.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/email/templates/model/dto/EmailTemplateDto.kt	ok	12
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/email/templates/repository/EmailTemplateRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/email/templates/repository/impl/EmailTemplateDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/email/templates/service/EmailTemplateService.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/controller/LlmPromptTemplateController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/controller/LlmTaskController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/controller/McpToolConfigController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/ClaudeClient.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/GeminiClient.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMChatRequest.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMChatResponse.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMClient.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMClientExceptions.kt	ok	3
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMClientFactory.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMProviderConfig.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/LLMStreamChunk.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/infrastructure/StubLLMClient.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/db/LlmPromptTemplateTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/db/LlmTaskExecutionTable.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/db/LlmTaskTable.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/db/McpToolTable.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/domain/ChatMessage.kt	ok	5
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/dto/LlmPromptTemplateDto.kt	ok	5
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/dto/LlmTaskDto.kt	ok	9
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/model/dto/McpToolDto.kt	ok	8
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/repository/LlmTaskRepository.kt	ok	7
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/repository/impl/LlmPromptTemplateDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/repository/impl/LlmTaskExecutionDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/repository/impl/LlmTaskMetaDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/repository/impl/LlmTaskVersionDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/repository/impl/McpToolConfigDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/repository/impl/McpToolDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/service/LlmPromptTemplateService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/service/LlmTaskService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/llm/service/McpToolConfigService.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/monitoring/controller/ProcessMonitoringController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/monitoring/model/db/ProcessMonitoringTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/monitoring/model/dto/ProcessMonitoringDto.kt	ok	10
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/monitoring/repository/ProcessMonitoringRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/monitoring/repository/impl/ProcessMonitoringDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/monitoring/service/ProcessMonitoringService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/controller/ProcessController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/controller/ProcessTriggerEventController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/controller/ScheduleTriggerController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/model/db/ProcessGlobalVariableTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/model/db/ProcessTable.kt	ok	7
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/model/db/ProcessTriggerEventVariableTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/model/db/ProcessTriggerTable.kt	ok	4
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/model/dto/ProcessDto.kt	ok	40
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/model/dto/ProcessTriggerEventSearchCriteria.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/model/dto/ScheduleTriggerDto.kt	ok	2
